# fps: 10.000000
# x,y,z,qx,qy,qz,qw
0.115146,0.456319,0.303906,0.277023,0.0531799,-0.208353,0.936493
0.119297,0.453604,0.29607,0.275949,0.0600527,-0.237395,0.929456
0.101827,0.452279,0.308423,0.274947,0.0692055,-0.265391,0.921511
0.110508,0.449798,0.312769,0.272497,0.0767762,-0.294487,0.912759
0.113194,0.443454,0.315416,0.269704,0.088235,-0.322321,0.903096
0.132428,0.441948,0.324178,0.26782,0.0973316,-0.350515,0.892154
0.143921,0.425948,0.32283,0.265178,0.107753,-0.377455,0.88068
0.147093,0.422593,0.316451,0.264141,0.11658,-0.40325,0.868348
0.143783,0.430065,0.314826,0.261839,0.126376,-0.42934,0.855065
0.141884,0.424726,0.298648,0.258521,0.136408,-0.455681,0.840782
0.151867,0.429057,0.300075,0.256495,0.146274,-0.482589,0.824574
0.132774,0.42225,0.324196,0.253007,0.155252,-0.506557,0.809496
0.123747,0.417336,0.342353,0.249857,0.164637,-0.532042,0.792085
0.137576,0.391983,0.348658,0.245505,0.173499,-0.556586,0.774492
0.14012,0.401398,0.359926,0.241542,0.18113,-0.578068,0.758081
0.118358,0.39991,0.338872,0.237368,0.188511,-0.599529,0.740733
0.0972515,0.414086,0.343034,0.231496,0.197701,-0.621001,0.722275
0.101772,0.398092,0.3491,0.226507,0.206906,-0.64382,0.700986
0.0895992,0.411965,0.342634,0.221358,0.214842,-0.664824,0.680333
0.0956794,0.402852,0.3204,0.214812,0.222434,-0.685758,0.658874
0.0836967,0.401195,0.310516,0.209481,0.22981,-0.706032,0.636258
0.0744355,0.395121,0.319483,0.201977,0.236813,-0.725499,0.613821
0.0768578,0.391188,0.316211,0.197075,0.244062,-0.743605,0.590463
0.0650559,0.393839,0.309794,0.191341,0.252227,-0.760934,0.566347
0.0638356,0.38903,0.30928,0.183252,0.259704,-0.777278,0.542965
0.0731964,0.388705,0.315371,0.1745,0.267652,-0.793013,0.518693
0.0601681,0.377181,0.296311,0.165774,0.274568,-0.80842,0.493547
0.0483696,0.373865,0.288688,0.156923,0.28242,-0.822618,0.467883
0.0419665,0.386912,0.276749,0.148467,0.289228,-0.836524,0.441057
0.0293057,0.397829,0.276328,0.13926,0.295974,-0.849061,0.414851
0.00994681,0.39803,0.268042,0.12946,0.302603,-0.861485,0.386671
-0.00199085,0.410992,0.283087,0.119262,0.307874,-0.872827,0.359394
-0.0119292,0.406062,0.291885,0.109431,0.313458,-0.882951,0.331913
-0.0285841,0.411901,0.292862,0.0990784,0.315725,-0.893258,0.304289
-0.0324663,0.412871,0.288779,0.0883938,0.318305,-0.902419,0.276601
-0.0615822,0.402616,0.311876,0.0781944,0.322787,-0.909793,0.248941
-0.0702219,0.397798,0.304641,0.0668647,0.325905,-0.917333,0.218668
-0.0786593,0.416231,0.303304,0.0548029,0.329647,-0.923234,0.189656
-0.0815922,0.433456,0.30572,0.042661,0.333988,-0.927691,0.161312
-0.078677,0.445125,0.301119,0.0332017,0.336119,-0.932029,0.131317
-0.0974144,0.454647,0.292606,0.0222425,0.338397,-0.935091,0.102949
-0.101755,0.456466,0.306294,0.0134679,0.341355,-0.93697,0.0733657
-0.11188,0.453578,0.302421,0.00246041,0.343125,-0.938275,0.0435751
-0.0990033,0.452892,0.292065,0.00929413,-0.345878,0.93815,-0.0124988
-0.11378,0.437214,0.299258,0.0204889,-0.348009,0.937128,0.016157
-0.127654,0.452929,0.300486,0.0307348,-0.349701,0.935266,0.0452017
-0.157894,0.454177,0.297444,0.0426242,-0.351649,0.932243,0.0738168
-0.159457,0.451466,0.327409,0.0541253,-0.352757,0.928411,0.103375
-0.157,0.47906,0.339843,0.066567,-0.352805,0.923911,0.132235
-0.15814,0.491248,0.359799,0.0788262,-0.352627,0.91854,0.160387
-0.183963,0.505699,0.377324,0.0912881,-0.35121,0.912625,0.188237
-0.174045,0.521072,0.383809,0.103504,-0.349282,0.905605,0.217182
